Model,Test_Set,MAE,RMSE,R2,Pearson,Spearman
Both_All_Mods_CD8_T,AIDA Test,6.522849661530004,8.470892196897323,0.5347553307334998,0.7893913360468159,0.8299327906426425
Both_PB_GF_CD8_T,OneK1K Test,7.247583678761307,9.066668749335067,0.7201739845612887,0.8555633817860996,0.831106786320735
Both_PB_GF_CD8_T,AIDA Test,7.287149773273893,9.534674098470076,0.41056651709543734,0.7390668416253529,0.7846608646274575
Both_PB_scGPT_CD8_T,OneK1K Test,7.496637117147212,9.19761927584332,0.7120325190685249,0.8446684128663546,0.8055854831359861
Both_PB_scGPT_CD8_T,AIDA Test,6.631515683189534,8.376787746695927,0.5450348631731563,0.7882315627982083,0.8200240860314303
OneK1K_All_Mods_monocytes,OneK1K Test,6.350247389559022,7.843793106747824,0.790567127172586,0.8956659682151722,0.8513962742041
OneK1K_All_Mods_monocytes,AIDA Test,62.280499053746865,63.49539740222422,-25.14012063286929,0.31147458663490135,0.2971385925196189
OneK1K_PB_GF_monocytes,OneK1K Test,6.3325610253459805,7.839331215742244,0.790805328475494,0.895675700464992,0.8524384891452083
OneK1K_PB_GF_monocytes,AIDA Test,64.18678566657873,65.40953692212094,-26.739922605489017,0.3018135382348765,0.266974815054745
OneK1K_PB_scGPT_monocytes,OneK1K Test,6.374743491560218,7.907589068252976,0.7871465101985781,0.894167970320185,0.8567629033784632
OneK1K_PB_scGPT_monocytes,AIDA Test,37.736929175904606,39.69671326139339,-9.217207104564528,0.12876475595449677,0.1820330575042124
AIDA_All_Mods_monocytes,OneK1K Test,29.704874653345183,33.368405612594856,-2.790211999429833,0.11762643714507565,0.0076740204618911696
AIDA_All_Mods_monocytes,AIDA Test,7.127012499859661,9.228260225906086,0.4478427724504861,0.678698587326459,0.6839457098071331
AIDA_PB_GF_monocytes,OneK1K Test,33.39181928036812,36.77800418628938,-3.6043561164648787,0.05769204466150765,-0.030410898654724124
AIDA_PB_GF_monocytes,AIDA Test,7.3987512255339185,9.53919131165479,0.41000787662212834,0.6448456350209985,0.652486447993797
AIDA_PB_scGPT_monocytes,OneK1K Test,25.08360718254329,29.174543453433824,-1.897348440670625,0.11142008969358641,0.05924551202538412
AIDA_PB_scGPT_monocytes,AIDA Test,6.963690483394633,9.129201335684353,0.4596331898963285,0.7006224653114015,0.6976358281922354
Both_All_Mods_monocytes,OneK1K Test,7.340880565073216,9.337189518509362,0.703226623432903,0.8568849331177657,0.8244438699061876
Both_All_Mods_monocytes,AIDA Test,8.723375949511187,10.705262286266862,0.25695054386746086,0.7097419512128603,0.7214797428220427
Both_PB_GF_monocytes,OneK1K Test,7.433277015945661,9.506538805637454,0.6923637980768342,0.8529625516489558,0.8260149700412911
Both_PB_GF_monocytes,AIDA Test,9.005098760442674,11.014687646497157,0.21337550119089,0.651511067577119,0.6712184514107526
Both_PB_scGPT_monocytes,OneK1K Test,7.249251975130689,9.317054960567129,0.7045051576444434,0.8596617798156172,0.8226653638126549
Both_PB_scGPT_monocytes,AIDA Test,8.6852608408421,10.737628233617087,0.25245072794976475,0.7210126406843584,0.7534466944476143
OneK1K_All_Mods_NK,OneK1K Test,6.036575551382604,7.321005040289185,0.8175541446130175,0.9059661486036625,0.870265031272223
OneK1K_All_Mods_NK,AIDA Test,51.47372949371648,52.87151537299055,-17.12452410997715,0.3248529089901688,0.36147684056739715
OneK1K_PB_GF_NK,OneK1K Test,6.021828966430595,7.325855105178003,0.8173123288128802,0.9058710417330107,0.8699798480793823
OneK1K_PB_GF_NK,AIDA Test,51.01562682933411,52.43628040103956,-16.82735244118366,0.28898973394471617,0.31536661740625016
OneK1K_PB_scGPT_NK,OneK1K Test,6.2614500537531335,7.530552652824064,0.8069604532992833,0.9002686186915138,0.8601799165435889
OneK1K_PB_scGPT_NK,AIDA Test,36.85343315448698,38.785841091165224,-8.753702920485578,0.29914465162308823,0.3328723968903607
AIDA_All_Mods_NK,OneK1K Test,32.07432110599403,35.46933216525674,-3.2825122420888366,0.08951251632419202,0.10965553022167193
AIDA_All_Mods_NK,AIDA Test,7.689879683484155,9.722051974632011,0.387171473391696,0.6225629576130965,0.6341468618119018
AIDA_PB_GF_NK,OneK1K Test,36.045230397502486,39.39319323839307,-4.2824447469132485,0.08715849929997553,0.06324326187411256
AIDA_PB_GF_NK,AIDA Test,8.081729360797304,10.36528511428358,0.3033965816967652,0.5532273605328504,0.5740670266224347
AIDA_PB_scGPT_NK,OneK1K Test,25.74811104363647,28.738791639997515,-1.8114450375422244,0.07991572534265076,0.10089781362698666
AIDA_PB_scGPT_NK,AIDA Test,7.231378687868016,9.104012204495113,0.46261101716590713,0.6813695705376789,0.6850711743311793
Both_All_Mods_NK,OneK1K Test,7.283759318825878,8.945809070767616,0.727584484093506,0.8572025892115521,0.8087639794489181
Both_All_Mods_NK,AIDA Test,8.522841751245977,10.406701109543693,0.29781870095899,0.6725551313499901,0.664571906555286
Both_PB_GF_NK,OneK1K Test,7.345366524333002,8.810500421497583,0.7357629313102789,0.8634663244040104,0.816681701911964
Both_PB_GF_NK,AIDA Test,8.637986549472714,10.593869679802767,0.272333555432407,0.695212281963188,0.7075135836298089
Both_PB_scGPT_NK,OneK1K Test,7.483117822306458,9.304216466866588,0.705318954473155,0.84720721106651,0.7974344289697073
Both_PB_scGPT_NK,AIDA Test,8.666259151167443,10.520203385927958,0.28241827758673765,0.6477375819181345,0.6387683875957071
